NBA Games Today,,True Result,Results from Logistic Regression Model,,,,
VTeam,HTeam,,win,lose,probability,,
Detroit Pistons,Charlotte Hornets,,Charlotte Hornets,Detroit Pistons,0.646647252,,
New York Knicks,Cleveland Cavaliers,,New York Knicks,Cleveland Cavaliers,0.541152616,,
Atlanta Hawks,Dallas Mavericks,,Dallas Mavericks,Atlanta Hawks,0.834045943,,
Toronto Raptors,Golden State Warriors,,Toronto Raptors,Golden State Warriors,0.58475321,,
Milwaukee Bucks,Indiana Pacers,,Milwaukee Bucks,Indiana Pacers,0.617282145,,
Portland Trail Blazers,Memphis Grizzlies,,Portland Trail Blazers,Memphis Grizzlies,0.524139639,,
Oklahoma City Thunder,New Orleans Pelicans,,Oklahoma City Thunder,New Orleans Pelicans,0.621240208,,
Brooklyn Nets,Philadelphia 76ers,,Philadelphia 76ers,Brooklyn Nets,0.800351538,,
Minnesota Timberwolves,Sacramento Kings,,Sacramento Kings,Minnesota Timberwolves,0.636266957,,
Miami Heat,Utah Jazz,,Miami Heat,Utah Jazz,0.516442791,,
Boston Celtics,Washington Wizards,,Boston Celtics,Washington Wizards,0.77571466,,
NBA Games Today,,True Result,Results from Neural Network Model,,,,
VTeam,HTeam,,win,lose,probability,,
Detroit Pistons,Charlotte Hornets,,Charlotte Hornets,Detroit Pistons,0.74120909,,
New York Knicks,Cleveland Cavaliers,,Cleveland Cavaliers,New York Knicks,0.570309162,,
Atlanta Hawks,Dallas Mavericks,,Dallas Mavericks,Atlanta Hawks,0.846288443,,
Toronto Raptors,Golden State Warriors,,Golden State Warriors,Toronto Raptors,0.697493136,,
Milwaukee Bucks,Indiana Pacers,,Indiana Pacers,Milwaukee Bucks,0.668465555,,
Portland Trail Blazers,Memphis Grizzlies,,Memphis Grizzlies,Portland Trail Blazers,0.520665169,,
Oklahoma City Thunder,New Orleans Pelicans,,New Orleans Pelicans,Oklahoma City Thunder,0.566981077,,
Brooklyn Nets,Philadelphia 76ers,,Philadelphia 76ers,Brooklyn Nets,0.747755527,,
Minnesota Timberwolves,Sacramento Kings,,Sacramento Kings,Minnesota Timberwolves,0.782205105,,
Miami Heat,Utah Jazz,,Utah Jazz,Miami Heat,0.627972841,,
Boston Celtics,Washington Wizards,,Boston Celtics,Washington Wizards,0.602520913,,