Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 6 2018,8:30p,Washington Wizards,100,Dallas Mavericks,119,Box Score,,19234,
Tue Nov 6 2018,9:00p,Brooklyn Nets,104,Phoenix Suns,82,Box Score,,14205,
Tue Nov 6 2018,10:00p,Milwaukee Bucks,103,Portland Trail Blazers,118,Box Score,,19512,
Wed Nov 7 2018,7:30p,New York Knicks,112,Atlanta Hawks,107,Box Score,,12412,
Wed Nov 7 2018,7:00p,Oklahoma City Thunder,95,Cleveland Cavaliers,86,Box Score,,19432,
Wed Nov 7 2018,8:00p,Philadelphia 76ers,100,Indiana Pacers,94,Box Score,,16434,
Wed Nov 7 2018,10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,114,Box Score,,1897,
Wed Nov 7 2018,8:00p,Denver Nuggets,87,Memphis Grizzlies,89,Box Score,,15832,
Wed Nov 7 2018,7:30p,San Antonio Spurs,88,Miami Heat,95,Box Score,,19600,
Wed Nov 7 2018,8:00p,Chicago Bulls,98,New Orleans Pelicans,107,Box Score,,15514,
Wed Nov 7 2018,7:00p,Detroit Pistons,103,Orlando Magic,96,Box Score,,16103,
Wed Nov 7 2018,10:00p,Toronto Raptors,114,Sacramento Kings,105,Box Score,,17583,
Wed Nov 7 2018,9:00p,Dallas Mavericks,102,Utah Jazz,117,Box Score,,18306,
Thu Nov 8 2018,10:30p,Milwaukee Bucks,134,Golden State Warriors,111,Box Score,,19596,
Thu Nov 8 2018,8:00p,Houston Rockets,80,Oklahoma City Thunder,98,Box Score,,18203,
Thu Nov 8 2018,9:00p,Boston Celtics,116,Phoenix Suns,109,Box Score,OT,17359,
Thu Nov 8 2018,10:00p,Los Angeles Clippers,105,Portland Trail Blazers,116,Box Score,,19170,
Fri Nov 9 2018,7:30p,Detroit Pistons,124,Atlanta Hawks,109,Box Score,,14759,
Fri Nov 9 2018,9:00p,Brooklyn Nets,112,Denver Nuggets,110,Box Score,,19520,
Fri Nov 9 2018,8:00p,Indiana Pacers,110,Miami Heat,102,Box Score,,19600,
Fri Nov 9 2018,7:00p,Washington Wizards,108,Orlando Magic,117,Box Score,,16562,
Fri Nov 9 2018,7:00p,Charlotte Hornets,132,Philadelphia 76ers,133,Box Score,OT,20424,
Fri Nov 9 2018,10:00p,Minnesota Timberwolves,110,Sacramento Kings,121,Box Score,,17583,
Fri Nov 9 2018,9:30p,Boston Celtics,115,Utah Jazz,123,Box Score,,18306,
Sat Nov 10 2018,8:00p,Cleveland Cavaliers,98,Chicago Bulls,99,Box Score,,21506,
Sat Nov 10 2018,9:00p,Oklahoma City Thunder,96,Dallas Mavericks,111,Box Score,,19818,
Sat Nov 10 2018,8:30p,Brooklyn Nets,100,Golden State Warriors,116,Box Score,,19596,
Sat Nov 10 2018,3:30p,Milwaukee Bucks,126,Los Angeles Clippers,128,Box Score,OT,17486,
Sat Nov 10 2018,8:00p,Philadelphia 76ers,106,Memphis Grizzlies,112,Box Score,OT,16904,
Sat Nov 10 2018,8:00p,Washington Wizards,116,Miami Heat,110,Box Score,,19600,
Sat Nov 10 2018,7:00p,Phoenix Suns,99,New Orleans Pelicans,119,Box Score,,15222,
Sat Nov 10 2018,10:00p,Los Angeles Lakers,101,Sacramento Kings,86,Box Score,,17583,
Sat Nov 10 2018,8:30p,Houston Rockets,89,San Antonio Spurs,96,Box Score,,18354,
Sat Nov 10 2018,3:00p,New York Knicks,112,Toronto Raptors,128,Box Score,,19800,
Sun Nov 11 2018,8:00p,Milwaukee Bucks,121,Denver Nuggets,114,Box Score,,19520,
Sun Nov 11 2018,3:30p,Charlotte Hornets,113,Detroit Pistons,103,Box Score,,15133,
Sun Nov 11 2018,7:00p,Indiana Pacers,103,Houston Rockets,115,Box Score,,18055,
Sun Nov 11 2018,9:30p,Atlanta Hawks,106,Los Angeles Lakers,107,Box Score,,18997,
Sun Nov 11 2018,7:30p,Orlando Magic,115,New York Knicks,89,Box Score,,19812,
Sun Nov 11 2018,9:00p,Boston Celtics,94,Portland Trail Blazers,100,Box Score,,19712,
Mon Nov 12 2018,8:00p,Dallas Mavericks,103,Chicago Bulls,98,Box Score,,19012,
Mon Nov 12 2018,10:30p,Golden State Warriors,116,Los Angeles Clippers,121,Box Score,OT,19068,
Mon Nov 12 2018,8:00p,Utah Jazz,96,Memphis Grizzlies,88,Box Score,,13477,
Mon Nov 12 2018,7:30p,Philadelphia 76ers,124,Miami Heat,114,Box Score,,19600,
Mon Nov 12 2018,8:00p,Brooklyn Nets,113,Minnesota Timberwolves,120,Box Score,,10186,
Mon Nov 12 2018,8:00p,Phoenix Suns,101,Oklahoma City Thunder,118,Box Score,,18203,
Mon Nov 12 2018,10:00p,San Antonio Spurs,99,Sacramento Kings,104,Box Score,,15500,
Mon Nov 12 2018,7:30p,New Orleans Pelicans,126,Toronto Raptors,110,Box Score,,19800,
Mon Nov 12 2018,7:00p,Orlando Magic,109,Washington Wizards,117,Box Score,,15346,
Tue Nov 13 2018,7:00p,Charlotte Hornets,89,Cleveland Cavaliers,113,Box Score,,19432,
Tue Nov 13 2018,9:00p,Houston Rockets,109,Denver Nuggets,99,Box Score,,16741,
Tue Nov 13 2018,10:30p,Atlanta Hawks,103,Golden State Warriors,110,Box Score,,19596,
Wed Nov 14 2018,7:30p,Chicago Bulls,82,Boston Celtics,111,Box Score,,18624,
Wed Nov 14 2018,7:30p,Miami Heat,120,Brooklyn Nets,107,Box Score,,13317,
Wed Nov 14 2018,8:30p,Utah Jazz,68,Dallas Mavericks,118,Box Score,,19371,
Wed Nov 14 2018,10:30p,Portland Trail Blazers,117,Los Angeles Lakers,126,Box Score,,18997,
Wed Nov 14 2018,8:00p,Memphis Grizzlies,116,Milwaukee Bucks,113,Box Score,,16817,
Wed Nov 14 2018,8:00p,New Orleans Pelicans,100,Minnesota Timberwolves,107,Box Score,,11636,
Wed Nov 14 2018,8:00p,New York Knicks,103,Oklahoma City Thunder,128,Box Score,,18203,
Wed Nov 14 2018,7:00p,Philadelphia 76ers,106,Orlando Magic,111,Box Score,,15921,
Wed Nov 14 2018,9:00p,San Antonio Spurs,96,Phoenix Suns,116,Box Score,,14532,
Wed Nov 14 2018,7:30p,Detroit Pistons,106,Toronto Raptors,104,Box Score,,19800,
Wed Nov 14 2018,7:00p,Cleveland Cavaliers,95,Washington Wizards,119,Box Score,,14537,
Thu Nov 15 2018,9:00p,Atlanta Hawks,,Denver Nuggets,,,,,
Thu Nov 15 2018,8:00p,Golden State Warriors,,Houston Rockets,,,,,
Thu Nov 15 2018,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
Fri Nov 16 2018,7:00p,Toronto Raptors,,Boston Celtics,,,,,
Fri Nov 16 2018,7:00p,Miami Heat,,Indiana Pacers,,,,,
Fri Nov 16 2018,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Fri Nov 16 2018,9:30p,Chicago Bulls,,Milwaukee Bucks,,,,,
Fri Nov 16 2018,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,
Fri Nov 16 2018,8:00p,New York Knicks,,New Orleans Pelicans,,,,,
Fri Nov 16 2018,7:00p,Utah Jazz,,Philadelphia 76ers,,,,,
Fri Nov 16 2018,7:00p,Brooklyn Nets,,Washington Wizards,,,,,
Sat Nov 17 2018,7:30p,Utah Jazz,,Boston Celtics,,,,,
Sat Nov 17 2018,6:00p,Los Angeles Clippers,,Brooklyn Nets,,,,,
Sat Nov 17 2018,8:00p,Toronto Raptors,,Chicago Bulls,,,,,
Sat Nov 17 2018,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,
Sat Nov 17 2018,8:30p,Golden State Warriors,,Dallas Mavericks,,,,,
Sat Nov 17 2018,8:00p,Sacramento Kings,,Houston Rockets,,,,,
Sat Nov 17 2018,7:00p,Atlanta Hawks,,Indiana Pacers,,,,,
Sat Nov 17 2018,7:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
Sat Nov 17 2018,7:00p,Los Angeles Lakers,,Orlando Magic,,,,,
Sat Nov 17 2018,9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
Sun Nov 18 2018,6:00p,Los Angeles Lakers,,Miami Heat,,,,,
Sun Nov 18 2018,3:30p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
Sun Nov 18 2018,6:00p,New York Knicks,,Orlando Magic,,,,,
Sun Nov 18 2018,7:00p,Golden State Warriors,,San Antonio Spurs,,,,,
Sun Nov 18 2018,6:00p,Portland Trail Blazers,,Washington Wizards,,,,,
Mon Nov 19 2018,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
Mon Nov 19 2018,7:00p,Boston Celtics,,Charlotte Hornets,,,,,
Mon Nov 19 2018,7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
Mon Nov 19 2018,7:00p,Utah Jazz,,Indiana Pacers,,,,,
Mon Nov 19 2018,8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,
Mon Nov 19 2018,8:00p,Denver Nuggets,,Milwaukee Bucks,,,,,
Mon Nov 19 2018,8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
Mon Nov 19 2018,7:00p,Phoenix Suns,,Philadelphia 76ers,,,,,
Mon Nov 19 2018,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
Tue Nov 20 2018,7:30p,Brooklyn Nets,,Miami Heat,,,,,
Tue Nov 20 2018,7:30p,Portland Trail Blazers,,New York Knicks,,,,,
Tue Nov 20 2018,7:00p,Toronto Raptors,,Orlando Magic,,,,,
Tue Nov 20 2018,7:00p,Los Angeles Clippers,,Washington Wizards,,,,,
Wed Nov 21 2018,7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
Wed Nov 21 2018,7:30p,New York Knicks,,Boston Celtics,,,,,
Wed Nov 21 2018,8:00p,Phoenix Suns,,Chicago Bulls,,,,,
Wed Nov 21 2018,7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
Wed Nov 21 2018,8:00p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,
Wed Nov 21 2018,8:30p,Brooklyn Nets,,Dallas Mavericks,,,,,
Wed Nov 21 2018,10:30p,Oklahoma City Thunder,,Golden State Warriors,,,,,
Wed Nov 21 2018,8:00p,Detroit Pistons,,Houston Rockets,,,,,
Wed Nov 21 2018,8:00p,Portland Trail Blazers,,Milwaukee Bucks,,,,,
Wed Nov 21 2018,8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
Wed Nov 21 2018,7:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,
Wed Nov 21 2018,8:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
Wed Nov 21 2018,9:00p,Sacramento Kings,,Utah Jazz,,,,,
Fri Nov 23 2018,7:30p,Boston Celtics,,Atlanta Hawks,,,,,
Fri Nov 23 2018,12:00p,Minnesota Timberwolves,,Brooklyn Nets,,,,,
Fri Nov 23 2018,8:00p,Miami Heat,,Chicago Bulls,,,,,
Fri Nov 23 2018,9:00p,Orlando Magic,,Denver Nuggets,,,,,
Fri Nov 23 2018,7:00p,Houston Rockets,,Detroit Pistons,,,,,
Fri Nov 23 2018,10:30p,Portland Trail Blazers,,Golden State Warriors,,,,,
Fri Nov 23 2018,8:00p,San Antonio Spurs,,Indiana Pacers,,,,,
Fri Nov 23 2018,3:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,
Fri Nov 23 2018,10:30p,Utah Jazz,,Los Angeles Lakers,,,,,
Fri Nov 23 2018,8:30p,Phoenix Suns,,Milwaukee Bucks,,,,,
Fri Nov 23 2018,7:30p,New Orleans Pelicans,,New York Knicks,,,,,
Fri Nov 23 2018,8:00p,Charlotte Hornets,,Oklahoma City Thunder,,,,,
Fri Nov 23 2018,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Fri Nov 23 2018,7:30p,Washington Wizards,,Toronto Raptors,,,,,
Sat Nov 24 2018,7:30p,Houston Rockets,,Cleveland Cavaliers,,,,,
Sat Nov 24 2018,8:30p,Boston Celtics,,Dallas Mavericks,,,,,
Sat Nov 24 2018,8:30p,Sacramento Kings,,Golden State Warriors,,,,,
Sat Nov 24 2018,8:30p,San Antonio Spurs,,Milwaukee Bucks,,,,,
Sat Nov 24 2018,8:00p,Chicago Bulls,,Minnesota Timberwolves,,,,,
Sat Nov 24 2018,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,
Sat Nov 24 2018,8:00p,New Orleans Pelicans,,Washington Wizards,,,,,
Sun Nov 25 2018,6:00p,Charlotte Hornets,,Atlanta Hawks,,,,,
Sun Nov 25 2018,6:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Sun Nov 25 2018,4:00p,Phoenix Suns,,Detroit Pistons,,,,,
Sun Nov 25 2018,3:30p,Orlando Magic,,Los Angeles Lakers,,,,,
Sun Nov 25 2018,6:00p,New York Knicks,,Memphis Grizzlies,,,,,
Sun Nov 25 2018,9:00p,Los Angeles Clippers,,Portland Trail Blazers,,,,,
Sun Nov 25 2018,8:00p,Utah Jazz,,Sacramento Kings,,,,,
Sun Nov 25 2018,6:00p,Miami Heat,,Toronto Raptors,,,,,
Mon Nov 26 2018,8:00p,San Antonio Spurs,,Chicago Bulls,,,,,
Mon Nov 26 2018,7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,
Mon Nov 26 2018,7:00p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
Mon Nov 26 2018,10:30p,Orlando Magic,,Golden State Warriors,,,,,
Mon Nov 26 2018,8:00p,Boston Celtics,,New Orleans Pelicans,,,,,
Mon Nov 26 2018,9:00p,Indiana Pacers,,Utah Jazz,,,,,
Mon Nov 26 2018,7:00p,Houston Rockets,,Washington Wizards,,,,,
Tue Nov 27 2018,9:00p,Los Angeles Lakers,,Denver Nuggets,,,,,
Tue Nov 27 2018,7:00p,New York Knicks,,Detroit Pistons,,,,,
Tue Nov 27 2018,8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,
Tue Nov 27 2018,7:30p,Atlanta Hawks,,Miami Heat,,,,,
Tue Nov 27 2018,9:00p,Indiana Pacers,,Phoenix Suns,,,,,
Wed Nov 28 2018,7:30p,Utah Jazz,,Brooklyn Nets,,,,,
Wed Nov 28 2018,7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
Wed Nov 28 2018,8:00p,Dallas Mavericks,,Houston Rockets,,,,,
Wed Nov 28 2018,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,
Wed Nov 28 2018,8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
Wed Nov 28 2018,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
Wed Nov 28 2018,8:00p,Washington Wizards,,New Orleans Pelicans,,,,,
Wed Nov 28 2018,8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,
Wed Nov 28 2018,7:00p,New York Knicks,,Philadelphia 76ers,,,,,
Wed Nov 28 2018,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,
Thu Nov 29 2018,10:30p,Indiana Pacers,,Los Angeles Lakers,,,,,
Thu Nov 29 2018,10:30p,Los Angeles Clippers,,Sacramento Kings,,,,,
Thu Nov 29 2018,8:00p,Golden State Warriors,,Toronto Raptors,,,,,
Fri Nov 30 2018,7:00p,Cleveland Cavaliers,,Boston Celtics,,,,,
Fri Nov 30 2018,7:30p,Memphis Grizzlies,,Brooklyn Nets,,,,,
Fri Nov 30 2018,7:00p,Utah Jazz,,Charlotte Hornets,,,,,
Fri Nov 30 2018,7:00p,Chicago Bulls,,Detroit Pistons,,,,,
Fri Nov 30 2018,10:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,
Fri Nov 30 2018,8:00p,New Orleans Pelicans,,Miami Heat,,,,,
Fri Nov 30 2018,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
Fri Nov 30 2018,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
Fri Nov 30 2018,9:00p,Orlando Magic,,Phoenix Suns,,,,,
Fri Nov 30 2018,10:30p,Denver Nuggets,,Portland Trail Blazers,,,,,
Fri Nov 30 2018,8:00p,Houston Rockets,,San Antonio Spurs,,,,,