Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.7,18,8,20,6,9.85,0.34,10.19,114.6,105.1,+9.5,102.9,.246,.441,.588,.557,12.7,22.6,.189,.506,11.4,81.6,.158,Fiserv Forum,275642,17228
2,Toronto Raptors,27.3,22,7,21,8,8.14,-0.27,7.87,114.8,106.7,+8.1,99.7,.232,.376,.584,.550,12.2,23.7,.186,.498,12.9,74.9,.181,Scotiabank Arena,297388,19826
3,Boston Celtics,25.8,16,10,19,7,7.62,-0.60,7.02,110.9,103.3,+7.6,98.7,.211,.403,.558,.527,11.4,22.6,.165,.495,13.7,79.3,.199,TD Garden,204864,18624
4,Denver Nuggets,24.5,18,9,19,8,6.30,0.26,6.56,112.4,106.0,+6.4,97.1,.253,.332,.551,.519,11.9,27.3,.188,.510,12.9,79.0,.200,Pepsi Center,231848,17834
5,Golden State Warriors,28.1,19,9,19,9,5.86,-0.53,5.33,115.9,110.1,+5.8,99.7,.245,.349,.598,.561,13.1,23.4,.203,.509,11.0,77.0,.199,Oracle Arena,274344,19596
6,Oklahoma City Thunder,25.6,17,8,18,7,6.84,-1.77,5.07,109.2,102.5,+6.7,102.2,.266,.338,.538,.507,12.3,27.6,.189,.502,14.9,78.5,.197,Chesapeake Energy Arena,236639,18203
7,Indiana Pacers,26.9,17,10,18,9,4.70,-1.66,3.04,108.4,103.6,+4.8,98.0,.240,.291,.562,.532,13.6,21.0,.178,.509,14.2,78.6,.177,Bankers Life Fieldhouse,217026,16694
8,Charlotte Hornets,26.8,13,13,16,10,3.31,-0.54,2.77,113.2,109.9,+3.3,100.0,.258,.371,.562,.523,10.4,21.3,.207,.524,13.0,76.1,.191,Spectrum Center,217043,15503
9,Portland Trail Blazers,26.2,15,12,15,12,1.59,0.63,2.23,112.3,110.7,+1.6,99.4,.261,.350,.562,.519,12.8,26.6,.213,.516,10.4,77.5,.176,Moda Center,271151,19368
10,Los Angeles Clippers,27.8,17,10,15,12,2.11,0.09,2.20,112.8,110.7,+2.1,100.7,.333,.284,.572,.521,12.2,22.2,.269,.499,10.2,75.1,.210,STAPLES Center,203820,16985
11,New Orleans Pelicans,26.6,14,15,16,13,1.83,0.24,2.07,114.1,112.3,+1.8,102.9,.286,.317,.574,.537,12.8,25.7,.220,.531,11.3,77.0,.191,Smoothie King Center,215981,15427
12,Philadelphia 76ers,26.0,19,9,16,12,2.43,-0.61,1.82,110.5,108.1,+2.4,101.6,.326,.363,.570,.526,13.6,23.4,.253,.497,10.9,78.1,.205,Wells Fargo Center,305060,20337
13,Los Angeles Lakers,26.5,17,10,15,12,2.22,-0.74,1.48,109.7,107.5,+2.2,102.7,.251,.334,.559,.532,13.1,22.8,.177,.505,12.4,75.9,.186,STAPLES Center,284955,18997
14,Dallas Mavericks,26.6,14,11,14,11,2.08,-0.81,1.27,110.0,107.9,+2.1,99.6,.300,.391,.566,.528,13.9,24.0,.226,.525,13.4,79.0,.187,American Airlines Center,276390,19742
15,Utah Jazz,26.9,13,15,13,15,-0.57,1.74,1.17,107.9,108.5,-0.6,99.4,.311,.379,.563,.529,13.9,21.8,.223,.530,13.5,78.6,.192,Vivint Smart Home Arena,183060,18306
16,Minnesota Timberwolves,26.9,13,14,13,14,-0.11,1.08,0.97,110.3,110.4,-0.1,99.5,.261,.320,.547,.505,11.8,24.5,.210,.518,13.3,72.8,.186,Target Center,214692,14313
17,Memphis Grizzlies,28.3,15,11,13,13,0.54,0.40,0.94,107.1,106.6,+0.5,94.9,.281,.332,.553,.515,12.2,17.9,.213,.514,14.8,76.6,.234,FedEx Forum,183528,15294
18,Sacramento Kings,24.4,14,12,12,14,-0.65,0.30,-0.36,110.1,110.8,-0.7,103.8,.245,.307,.563,.538,12.3,22.5,.171,.535,14.3,75.6,.207,Golden 1 Center,181595,16509
19,Houston Rockets,29.2,12,14,12,14,-1.12,-0.08,-1.20,112.5,113.7,-1.2,95.5,.272,.487,.565,.530,12.7,25.1,.204,.532,12.9,74.3,.234,Toyota Center,198605,18055
20,Miami Heat,27.1,11,15,13,13,-0.35,-1.48,-1.83,107.6,107.9,-0.3,100.1,.277,.374,.535,.502,12.8,26.1,.196,.505,12.4,76.5,.215,AmericanAirlines Arena,274486,19606
21,Detroit Pistons,27.2,13,12,12,13,-1.20,-0.73,-1.93,107.4,108.6,-1.2,99.9,.282,.362,.527,.490,11.9,26.4,.204,.521,13.1,79.7,.238,Little Caesars Arena,239893,15993
22,San Antonio Spurs,29.3,14,14,12,16,-2.04,-0.11,-2.14,111.4,113.4,-2.0,98.3,.242,.270,.557,.516,11.0,22.9,.201,.544,11.3,79.0,.165,AT&T Center,255993,18285
23,Brooklyn Nets,25.6,10,18,12,16,-1.93,-0.57,-2.49,109.5,111.4,-1.9,97.9,.268,.384,.543,.509,12.4,26.1,.195,.513,11.8,74.9,.229,Barclays Center,193547,13825
24,Orlando Magic,25.8,12,15,11,16,-3.37,0.59,-2.78,106.5,110.0,-3.5,97.8,.192,.358,.542,.512,11.7,19.6,.150,.525,12.6,76.9,.194,Amway Center,231608,16543
25,Washington Wizards,26.9,11,16,10,17,-4.81,-0.24,-5.06,109.1,113.8,-4.7,101.5,.289,.368,.556,.518,11.8,19.8,.218,.538,13.8,72.3,.221,Capital One Arena,197298,16442
26,New York Knicks,23.5,8,20,9,19,-6.61,0.70,-5.91,107.6,114.2,-6.6,99.5,.264,.322,.535,.494,12.3,25.5,.205,.543,12.4,75.9,.210,Madison Square Garden (IV),249904,19223
27,Cleveland Cavaliers,26.0,6,21,7,20,-8.33,0.60,-7.73,107.4,116.1,-8.7,95.9,.238,.277,.533,.495,11.9,26.2,.187,.554,11.5,77.5,.178,Quicken Loans Arena,272048,19432
28,Atlanta Hawks,25.5,6,20,6,20,-10.31,0.57,-9.74,102.3,112.1,-9.8,105.5,.263,.398,.540,.505,15.1,21.2,.195,.540,13.9,75.9,.226,State Farm Arena,188789,14522
29,Chicago Bulls,24.0,6,22,5,23,-11.04,1.22,-9.82,100.6,111.6,-11.0,100.1,.231,.334,.533,.497,14.0,16.4,.180,.530,12.3,75.5,.180,United Center,300436,20029
30,Phoenix Suns,25.3,4,24,5,23,-11.86,1.65,-10.21,102.3,114.2,-11.9,99.2,.221,.357,.545,.513,14.8,18.5,.171,.544,13.0,75.4,.232,Talking Stick Resort Arena,205431,14674