Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Pelicans,29,240.0,43.7,90.8,.481,10.1,28.8,.351,33.6,62.0,.541,20.0,25.9,.770,11.4,36.0,47.4,27.2,7.3,5.6,15.0,22.2,117.4
2,Toronto Raptors,29,242.6,43.6,89.9,.485,11.7,33.8,.347,31.9,56.1,.568,16.8,20.8,.805,10.1,35.6,45.7,25.4,8.2,5.6,13.8,21.5,115.7
3,Golden State Warriors,28,241.8,43.3,87.8,.492,12.1,30.6,.394,31.2,57.2,.545,17.8,21.5,.829,9.8,35.8,45.5,27.9,7.2,6.2,14.6,22.4,116.4
4,Philadelphia 76ers,28,243.6,40.4,87.4,.462,11.1,31.7,.350,29.3,55.6,.526,22.1,28.5,.774,10.3,37.4,47.7,26.5,7.0,5.6,15.7,23.1,113.9
5,Los Angeles Clippers,27,243.7,41.2,87.9,.469,9.2,24.9,.370,32.0,63.0,.508,23.6,29.3,.807,9.8,36.4,46.2,22.4,6.0,5.3,14.0,22.7,115.3
6,Milwaukee Bucks,26,241.9,43.7,91.3,.478,14.3,40.3,.356,29.3,51.0,.575,17.3,22.5,.769,10.0,40.5,50.5,26.5,7.2,5.7,14.8,20.8,118.9
7,San Antonio Spurs,28,241.8,41.5,89.5,.463,9.4,24.1,.389,32.1,65.4,.490,18.0,21.6,.832,10.4,33.9,44.4,24.0,6.0,4.2,12.2,18.4,110.3
8,Los Angeles Lakers,27,240.9,43.1,91.1,.474,10.7,30.4,.350,32.5,60.6,.536,16.1,22.8,.706,10.3,36.2,46.6,23.9,8.4,6.1,15.3,20.8,113.1
9,Brooklyn Nets,28,243.6,39.6,89.6,.442,12.0,34.4,.350,27.6,55.2,.500,17.5,24.0,.729,12.4,33.1,45.5,22.5,6.7,4.0,14.2,23.7,108.7
10,New York Knicks,28,242.7,39.8,90.8,.438,10.1,29.2,.348,29.6,61.6,.481,18.6,24.0,.778,12.1,33.5,45.6,19.6,7.1,5.0,14.2,22.9,108.4
11,Portland Trail Blazers,27,240.9,40.9,89.5,.457,11.1,31.3,.355,29.8,58.1,.513,19.1,23.3,.817,12.0,37.3,49.3,20.9,6.3,4.8,14.6,20.7,112.0
12,Washington Wizards,27,241.9,40.8,89.0,.458,10.7,32.8,.325,30.1,56.3,.535,19.4,25.7,.754,9.0,31.7,40.7,24.3,8.6,5.9,13.4,22.3,111.6
13,Utah Jazz,28,240.0,39.0,83.8,.466,10.5,31.8,.332,28.5,52.0,.548,18.6,26.1,.715,9.3,33.6,42.9,24.4,9.0,5.3,15.4,21.9,107.3
14,Sacramento Kings,26,240.0,43.8,91.7,.478,10.9,28.2,.388,32.9,63.5,.518,15.7,22.4,.698,10.5,34.2,44.6,25.2,8.6,4.5,14.2,22.3,114.3
15,Denver Nuggets,27,241.9,41.4,89.7,.462,10.2,29.8,.343,31.2,60.0,.521,16.9,22.7,.743,12.2,35.0,47.2,26.8,8.6,5.0,13.5,20.6,110.0
16,Charlotte Hornets,26,241.9,41.6,91.1,.457,12.0,33.8,.356,29.6,57.3,.516,18.9,23.5,.802,9.6,34.2,43.8,24.0,7.8,5.4,11.8,20.1,114.2
17,Minnesota Timberwolves,27,240.0,40.1,90.0,.446,10.6,28.8,.367,29.6,61.3,.483,18.9,23.5,.804,11.1,32.8,43.9,23.8,9.3,5.7,13.4,19.6,109.7
18,Boston Celtics,26,241.9,41.1,90.5,.454,13.3,36.5,.364,27.8,54.0,.515,15.0,19.1,.784,10.5,35.8,46.3,25.5,8.3,5.2,12.7,21.5,110.4
19,Indiana Pacers,27,240.0,40.8,85.5,.477,9.3,24.9,.374,31.5,60.6,.520,15.2,20.5,.742,8.7,34.6,43.3,24.7,9.2,5.4,14.8,19.6,106.1
20,Phoenix Suns,28,241.8,38.7,85.4,.453,10.1,30.5,.333,28.6,54.9,.520,14.6,18.9,.777,8.1,32.0,40.0,23.6,8.3,4.2,16.3,23.6,102.2
21,Chicago Bulls,28,242.7,38.2,86.7,.440,9.9,28.9,.341,28.3,57.8,.490,15.6,20.0,.779,7.5,34.1,41.6,22.0,7.9,4.6,15.5,20.3,101.8
22,Orlando Magic,27,240.9,40.0,89.0,.450,11.2,31.8,.352,28.8,57.1,.504,13.4,17.1,.783,8.9,33.4,42.3,25.7,7.0,5.4,12.8,19.8,104.6
23,Houston Rockets,26,241.9,38.4,85.7,.448,14.0,41.7,.336,24.4,44.0,.555,17.5,23.3,.750,11.0,30.0,41.0,21.1,8.0,5.8,13.9,23.2,108.4
24,Miami Heat,26,241.0,39.2,90.1,.435,12.2,33.7,.360,27.0,56.3,.479,17.7,25.0,.707,12.4,35.3,47.7,22.7,7.7,6.6,14.9,22.7,108.1
25,Atlanta Hawks,26,240.0,39.6,89.6,.442,11.3,35.7,.316,28.3,53.9,.525,17.5,23.6,.741,9.9,33.9,43.8,24.8,9.2,6.0,17.8,23.6,107.9
26,Oklahoma City Thunder,25,240.0,42.0,92.8,.453,10.0,31.4,.319,32.0,61.4,.521,17.6,24.7,.712,12.9,36.0,48.9,22.9,10.4,5.6,14.5,22.7,111.6
27,Cleveland Cavaliers,27,240.0,39.0,87.6,.445,8.7,24.3,.358,30.3,63.3,.478,16.4,20.8,.788,11.7,32.0,43.8,19.5,6.7,2.3,13.1,21.0,103.0
28,Dallas Mavericks,25,241.0,39.4,85.9,.459,11.9,33.6,.354,27.5,52.4,.526,19.4,25.8,.752,10.4,35.3,45.6,23.0,7.8,4.6,15.8,20.2,110.1
29,Detroit Pistons,25,244.0,39.8,92.2,.432,10.6,33.4,.319,29.2,58.8,.496,18.8,26.0,.726,12.9,34.6,47.5,21.6,7.1,3.7,14.0,23.5,109.1
30,Memphis Grizzlies,26,243.8,37.9,83.1,.456,9.8,27.6,.357,28.0,55.5,.505,17.7,23.4,.758,7.7,31.7,39.5,23.4,9.0,6.0,12.9,22.8,103.3